year,ngram,value
2004,""" literate programming """,5.229608968093657e-10
2005,""" literate programming """,2.3725166276022946e-10
2006,""" literate programming """,7.597230483602502e-11
2007,""" literate programming """,2.2300419844079045e-10
2008,""" literate programming """,2.195929549309028e-10
2009,""" literate programming """,1.1379043540760136e-10
2010,""" literate programming """,0.0
2011,""" literate programming """,1.1715706182968688e-10
2012,""" literate programming """,2.1423765539374529e-10
2013,""" literate programming """,3.3195943216490775e-10
2014,""" literate programming """,1.3723647218633062e-10
2015,""" literate programming """,1.183098480295186e-10
2016,""" literate programming """,0.0
2017,""" literate programming """,1.5344436832265274e-10
2018,""" literate programming """,1.202050958770684e-10
2019,""" literate programming """,9.704551606759537e-10
2020,""" literate programming """,0.0
2021,""" literate programming """,0.0
2022,""" literate programming """,0.0
