"postcode_1","postcode_2","postcode_3"
"HP18","OX9",NA
"Ky","Eh","Fk"
"sk10 3aq","M20",NA
"CF83 1JL",NA,NA
"Ts43Bw","Ts26 9db",NA
"DT4","DT1","DT2"
"Dn16/DN17","Horncastle","Lincoln"
"ba22 7hq",NA,NA
"OX4 2SD",NA,NA
"Newcastle (cobalt business park)","Leeds (central)","Heysham lancashire"
"OX2 6PN",NA,NA
"SW186AQ","W106AZ",NA
"M4",NA,NA
"S7 2BB","EH16 5AB","BD21 2AD"
"SE28 8AS",NA,NA
"LU55GZ","LU33NT",NA
"Bristol",NA,NA
"ST16 3AG","ST6 1EB","ST5 2AG"
"L8","L1",NA
"WC1","CR0",NA
"Bn3",NA,NA
"N19 4RY",NA,NA
"Hp11 1sz",NA,NA
"LL40","LL42","LL44"
"YO23 1BW",NA,NA
"YO1",NA,NA
"BN1 4AT","W1T 7AF",NA
"JE2 3GG","JE2 4ST","JE2 3RF"
"BR7","DA7","DA14"
"BS8 1TH","BS2 9TJ","BS1 5SP"
"Rh123pq","Rh123rz","SE16EG"
"DD2","DD6","DD11"
"E7 9PN",NA,NA
"SW17 7DJ","SW6 7PH","W1G 0RN"
"ox2 0au",NA,NA
"AB12",NA,NA
"Tn11px","Tn56ag",NA
"PL8 2EB","PL2 2BG",NA
"SN13 9DN","BA2 7AY",NA
"ML9","ML12","ML3"
"eastbourne","london",NA
"sy3 8LR",NA,NA
"CV32","CV34","CV4"
"TQ4 5BY","EX2 5ED","TQ9 5BU"
"NG1 2DP","NG7 2QL","NG6 9DR"
"E7 9PN",NA,NA
"TQ126EW","TQ97UT",NA
"n8 9nh","w2 5dp","me13"
"OX4 4EJ","OX18 4RY","OX33 1PH"
"NG11","NG7",NA
"CB3","PE19","CB11"
"N6 6QS","E1 5NN","WC1H 9AT"
"E2 0HU","London","Oxford"
"eh3","eh7","eh11"
"NR18 9RS",NA,NA
"ST199BT",NA,NA
"EC2",NA,NA
"NG1","London","LE11"
"LS8","LS16","WF15"
"W1T 5DX","SW17 0QT",NA
"EN1 3JT","EN5 4HY","N18 1QX"
"london",NA,NA
"hp43pj",NA,NA
"EH2 4PH","EH3 9EN","EH12 6XF"
"ML10","DG13",NA
"CB1",NA,NA
"NE1 6UF","DL3 7NB","NE8 4JB"
"EX11 1RA","SW1V","CF10 3UD"
"G20","G42","PA2"
"Sw1p3ja",NA,NA
"SW1A","N1","UB11"
"NN7","LU7","CO7"
NA,NA,NA
"PA15 4EW",NA,NA
"CA1","CA11","CA7"
"ML8","G66",NA
"TR19 7JX","TR18 2TG","TR19 6QQ"
"TN37 7PT","TN34 1PN","BN27 3DY"
"Je31lp",NA,NA
"BN11 1RY",NA,NA
"BN13 3EP",NA,NA
"OX10 9DN","OX10 9PD",NA
"LE11 1UQ",NA,NA
"NG104QA","LE129AQ","LE119BD"
"sw15 5es","so41ojs","gu299hb"
"LS10 1JN","BD18 1LQ","LS7 4DR"
"SE16 4JE","SE3 7DH","SE3 7AS"
"CB1",NA,NA
"M16 9AB","M3 6FA","M19 3QE"
"PO30 5TG",NA,NA
"N8","N20","N22"
"NW3 3NR","AL8 6AH","W1W 6QQ"
"Bs2 9yj","Sw17 0re",NA
"DG1 4JW",NA,NA
"GU34 4AP",NA,NA
"S1",NA,NA
"NP16","NP4","NP44"
"G13 !PU",NA,NA
"EX2 5DY",NA,NA
"KY12 7QZ","KY15 5RR","EH6"
"Classroom","Friends meeting house","Community centre"
"London NW1","London N19","London N1"
"E9",NA,NA
"SE10 9LZ","W2 5DP","W1T 5DX"
"Dt6","Dt4","Dt1"
"E1","sw2",NA
"HD1 3DH","M4 7JA","M1 1ED"
"PR1",NA,NA
"LS1 2JG","WF2 9SR",NA
"SW17","WC2",NA
"SW15","SW 11","NW 6"
"BS1","Bs2","Bs5"
"M193Eq","Ol67sr",NA
"TN39 4XA",NA,NA
"TQ9",NA,NA
"LN2 4SQ","LN9 5DX","LND 4DU"
NA,NA,NA
"LU7 0QF",NA,NA
"GU46","GU11","GU15"
"SS9","SS0","SS16"
"cf64","cf11",NA
"KT6","KT12","RG8"
"CH2 1UL","L394QP",NA
"BS9 1QZ","BS9 3EQ",NA
"tn25 4hf","me1 3xx",NA
"G20 8YE",NA,NA
"TN25","SW1","NW1"
"Sw1A","Sw13",NA
"M13 0EU","M13",NA
"NW3",NA,NA
"SE20","BR6","BR2"
"london",NA,NA
"SE5 9RS",NA,NA
"EC3V 0EE",NA,NA
"EH21","EH7","G12"
"BN7 3AE","TN3 9PY",NA
"PE29 3RJ",NA,NA
"New York (USA)","Mumbai","Northwood"
"CW8","CW9",NA
"HR1 4HA","HR1 8DL","HR1 1LS"
"LL163RG","LL777TW","Ll319RZ"
"Ba1","Ba3","BA2"
"RG7 1TJ","RG7 5UU","RG14 6AA"
"La1","La9","La2"
"LL13","LL14","CH7"
"KA6 6DX",NA,NA
"G67 4DN",NA,NA
"LE11 3TU",NA,NA
"SP2 7BW","SP2 0BA","SP1"
"essex",NA,NA
"YO24 1GL",NA,NA
"YO24",NA,NA
"TS19","DL20",NA
"West London Buddhist Centre","North London Buddhist Centre","Valencia, Spain"
"BH16 6JN",NA,NA
"LE7 9XB","NN14 2NP","NN14 6GY"
"Lancashire",NA,NA
"rg1","rg30","rg42"
"HG1 5AR","YO26 5LR","YO62 5AH"
"SW1E 5NN","KT1 2PT",NA
"TD9","HU5",NA
"ca11 9pj",NA,NA
"CF11","SW1","BS1"
"LL52 0NT","LL53 5YT","LL49"
"MK11","MK13",NA
"NE16",NA,NA
"PO21 4DL","PO22 6BN","PO21 1JJ"
"Hg2",NA,NA
"KA6","KA12",NA
"WR14","WR10",NA
"Iv274HH","Iv26",NA
"SY23",NA,NA
"se5 8re",NA,NA
"CV37 6PG","CV32 5JQ","B13 8AB"
"Sw17",NA,NA
"Ec2m 3ur","Rh12 9bh","Sw1w 0pt"
"BN2 9ST","BN1 4AA","BN1 1HT"
"L17 0AQ","L15 6TB",NA
"pa238nr",NA,NA
"TQ9 7UT",NA,NA
"IP23 7BD","N16 7BX","SW1 5PD"
"CF103NQ",NA,NA
"G51 2JA","KA1 2EN","KA8 0SX"
"rg423jh","GU140eu",NA
"NP18","CF64","CF11"
"L!8","L15","L12"
"JE2","E1","IP31"
"BD1 4QH","LS1 3BB","BB8 0BP"
"SE16 3SA","DG13 0QL",NA
"SW100JN","W1T 5DX","SE23 2QA"
"NW1","E11",NA
"LS2",NA,NA
"Ng16","Ng2",NA
"NE16QE",NA,NA
"RH11","EH41",NA
"KA9 2AA","KA1 1DH",NA
"PO19 1RH","PO21 1JJ","PO18 0JP"
"GY4 6HZ",NA,NA
"IP16",NA,NA
"SP1","SP2","SP5"
"PH1 5ha","Ph15 2du","Ph8 0ds"
"EX3","PL6","TA13"
"ba11 1bq","other central Frome locations",NA
"TN9",NA,NA
"YO24","YO23","YO24"
"ne65 0xr","ne82an","ne611qf"
"SW1","EC4","EX13"
"BL1 1SE",NA,NA
"SO41 8ZZ","SO51 6FX",NA
"DG13 0QL","All over Cumbria (CA)","KA27 8GB"
"YO1 6ET","HU17 9BA","LS17 6QD"
"NG31","LN1","NG24"
NA,NA,NA
"l39dj",NA,NA
"GU1 2AF","SN15 5DG",NA
"M4 1DZ","HD1 1QA",NA
"London","Edinburgh","Totnes"
"nr1 4ns","ip225ua",NA
"DH1 4SZ","GU34 5AA","DH1 1QT"
"SK8 7AL","SK9 7SL","WA3 6GR"
"ML5 4BJ","Carluke","Glasgow"
"GU5 9DN","WC1","SN15"
"NN11","WV15","WV16"
"CV37",NA,NA
"WC2A 3TL","SG1 2ST","EX13 5TL"
"B15","M4 1DZ","W2 5DP"
"W1","W2","W3"
"WR5","TF10","ST19"
"LS3","PO31","EH4"
"BL1 1RJ",NA,NA
"SN13 9DF","BA1 6AW","KT16 8AT"
"EH39","AB24",NA
"W8","GU1,",NA
"EH10 5HF","FK8 2AU","FK9 5NU"
"CH2 1BQ",NA,NA
"bn3 7hy",NA,NA
"WC1B 3DG","SE11 5JT",NA
"Ab25 2zb",NA,NA
"gl1","gl50",NA
"SE9",NA,NA
"SW17",NA,NA
"NW7 3TB","E14",NA
"GL54 4EX","OX2 6PN",NA
"LL22 8DP",NA,NA
"GU22 7AH",NA,NA
"ol11 1dn","DL10 7BQ",NA
"Mansfield, Nottinghamshire","Nottingham",NA
"SE11 4NA",NA,NA
"N16 7BH","TN22 4AB","SY13 2LD"
"DT1 1LB","TN30 7DG","SW1V 1PS"
"EH11 1QF","M16 8EW",NA
"BN2 5JT",NA,NA
"L11JP",NA,NA
"Eh4","Ky8","Ky12"
"EH3","EH9",NA
"CF5","N5","YO62"
"GU9","SW1","TW15"
"EH16","TD5","TD6"
"W1T 5DX",NA,NA
"NW1 0PE","N7 8TT","N16 8TH"
"London","Uganda",NA
"AB21 0YA","AB51 5LX","KA27 8GB"
"L18 1JX","L15 6WU","L17 7BN"
"OX3 9DU","OX2 6PR","OX16 9AL"
"G12","L6",NA
"W1T 5DX",NA,NA
"KY",NA,NA
"EX4 4EX","TQ9 7HX","WF1"
"HD1",NA,NA
"NG2","NG1",NA
"WR1 3AD",NA,NA
"W1T 5 DX","W1B 5PW",NA
"PA23 7SB",NA,NA
"DT4 7TB","BH15 2NT","DT1 2JY"
"DT1","DT11","DT4"
"GU27LX",NA,NA
"BS7",NA,NA
"EX39 2EY","EX31 2BQ","EX31 1EL"
"LL57","LL30","LL28"
"DT1","DT11","BH12"
"L7 7by","Sa48 8lj",NA
"OX3",NA,NA
"EH8","EH1","EH9"
"W1","W5","WC1"
"kw151bh",NA,NA
"S1","S11","WF1"
"CT6","CT1","ME16"
"BN7 2DB","BN22 0AS",NA
"WA7","WN7",NA
"CV35 8BH","CV4 8GL",NA
"EC1M","N2",NA
"PAISLEY","EDINBURGH","OBAN"
"CT5",NA,NA
"cv37","cv34",NA
"CF10","NP10","CF14"
"CF5 2LN","CF5 1BA","CF83 1NG"
"SK14 5DL","SK10 1EX","SK14 5NJ"
NA,"CF15","Auckland 1071"
"BH14LB",NA,NA
"S75  2AH",NA,NA
"Bh14LB",NA,NA
"NE1",NA,NA
"WR5 IJG",NA,NA
"BN3","BN1",NA
"G74",NA,NA
"DT11 8DG","BH1",NA
"GU22",NA,NA
"ka12 8ss",NA,NA
"TN4","TN3","ME14"
"G73","G74",NA
"TN22 5AW",NA,NA
"SE1 OAL","FK19 8PQ","E2 9AX"
"tn3",NA,NA
"NR6 5BE","NR30 1BU",NA
"Al1","Sg1",NA
"Sg14dg","AL1",NA
"EX1","TQ9","TQ1"
"L39",NA,NA
"FY8 5HW",NA,NA
"M4 1DZ","M17 1DB",NA
"m337ft",NA,NA
"M4 1dz","Bd1",NA
"M4 1DZ",NA,NA
"N16",NA,NA
"NR18 0WF","NR2 3TD","NR17 2QE"
"La9",NA,NA
"ss0","ss4","ss9"
"SK23 7AA","SK10 3BL","DE45 1EL"
"GU7 1BA","SW1 1RD","GU1 4LH"
"SE1",NA,NA
"LS10","BD 7","LS1"
"PL","TR1",NA
"TQ9 7UL",NA,NA
"PR2","OL11",NA
"DG13 0QL","YO11 2PW","SE16 3SA"
"BA11",NA,NA
"bn2 0jl","W1T 5DX",NA
"S1",NA,NA
"NN13","TR2","PL25"
"DD1 4AY","KY12 7JA",NA
"NG1 1LG","TQ12 6EW","NW11 7HY"
"CF24 3BA","M4 1DZ","BS7 8NT"
"pr8 6ph","ch42 0lq",NA
"SE16 3SA","SW7",NA
"CF5 1GZ",NA,NA
"yo241gy",NA,NA
"DA8","BR1","SE21"
"EH",NA,NA
"BN22 0AS","BN7 2DB","TN34 1SA"
"se22 8de","cro1 2nd",NA
"ba1 1rl",NA,NA
"CF51GZ",NA,NA
"London","Brighton","Norwich"
"BH17 7ER","BH2 5HE","BH23 1JF"
"PE2 7BX","PE29 3DH",NA
"NG3","NG1","NG11"
"WV14","B13",NA
"IV36 3YX","EH9","ML12 6HT"
"BN1 1UG",NA,NA
"TQ9","TQ2",NA
"KT3 5BL",NA,NA
"EX4 3RG",NA,NA
"SE5 8AZ",NA,NA
"CB11 4JX","CB5 8QE","NW8 7AA"
"OX3","CV34",NA
"cf64 2xx","po16 7es",NA
"London","Oxford",NA
"BN7 2LE","Bn1 8TA","BN9 9LB"
"NE1","NE32","LS1"
"WC1R 4PD","WC2E 9DD","W2 6BN"
"NR1","NR7","NR14"
"SO17 1BJ","BH21 3AA",NA
"NR1","DE1","NG1"
"BN1 2LR",NA,NA
"EX4","TQ12","TQ9"
"BN2 3EW",NA,NA
"LA12 7JP","LA1 1HY","M4 1DZ"
"NP10 8NQ","SA3 5AS"," LD3 7PF"
"Glasgow","Edinburgh","Highlands"
"BN1","TN1"," BN21"
"G12","G66",NA
"NW1 2LS",NA,NA
"NW1",NA,NA
"CF24 3BA","CF24 2NY","CF62 5UP"
"CB1",NA,NA
"IV2 3UJ","KA6 6AB","EH10 5HF"
"EX34","EX32",NA
"CV36","CV37",NA
"SE59RS",NA,NA
"DY8",NA,NA
"TR2","TR15","PL26"
"G20","G41",NA
"SE16 7BW","EC2A 4LW","NW1 7HE"
"CF5",NA,NA
"OX7 7BU","OX16 9AJ","OX3 7JX"
"CB1","CB5","PE33"
"BN2 9ZE",NA,NA
"BN1 4ZE","SW1P 1RD",NA
"W1","Bn2","Helsinki Finland"
"FK1","EH1",NA
"FK1 5QE","EH3 9DN",NA
"LL572LS",NA,NA
"BH",NA,NA
"TQ14","YO1",NA
"N16 8SD","N16 0JT",NA
"M4","PR2","HR8"
"LA12 7JP","M4 1DZ","M21"
"PR3","WA9","M60"
"w1","sw1","ec1"
"Ll56 4nq","London","N Ireland"
"Bangor",NA,NA
"BS4",NA,NA
NA,NA,NA
"EC2V","TQ9",NA
"EH11 4BN","EH10 5HF",NA
"BA6","BS1","SN1"
"sw7","dh1","nw1"
"Bn7","BN1","BN9"
"CF10 3NQ.","SY23",NA
"PL4 8AA","TQ9 7UT",NA
"bh9 1nb","bh23 2ew","bh5 1bl"
"CF242LP",NA,NA
"E2 0HU",NA,NA
"se5","iv3","bh21"
"LL32 8YT","LA57",NA
"SO14 6TE","PO30 1PD","PO30 2QR"
"M41DZ","HR8 1JL","SY13 2LD"
"la12 8ae",NA,NA
"NE1","NE47","NE49"
"BT 15","BT70","BT 1"
"M21",NA,NA
"DD1 1SL",NA,NA
"TA3 7DY","GL5 2LD",NA
"BS8","BS16","BS15"
"TA1 1SW","N1","SW1"
"NP255HN","NP15 1XP","KA27 8GB"
"ip121lb","n13db",NA
"SE1 2RT","HP4 1NS","WC1N 3AL"
"MK40 2BY","MK40 2NT","MK43 7HX"
"MK40 2BY","MK40 2NT",NA
